"","player_name","drafted","GP","min_total","adjoe","ht_rev","Min_per"
"191","AARON THOMPSON","No",206,11166.9,98.8644156104201,76.7777777777778,54.2082524271845
"192","AARON TYSER","No",12,8.8,93.1967181818182,76,0.733333333333333
"193","AARON URBANUS","No",116,7841.9,93.1093794679861,72,67.6025862068966
"194","AARON VALDES","No",88,4565.9,110.979927133752,77,51.8852272727273
"195","AARON WALKER JR.","No",55,2327.5,96.008631952739,74,42.3181818181818
"196","AARON WALTON","No",4,6.4,14.2323,NA,1.6
"197","AARON WARE","No",121,5539.3,95.2928181629448,77,45.7793388429752
"198","AARON WASHINGTON","No",23,362.9,71.1758759988978,72,15.7782608695652
"199","AARON WEIDENAAR","No",106,2497.8,84.2875468972696,79,23.5641509433962
"200","AARON WHEELER","No",150,7861.4,97.6722641615997,79,52.4093333333333
"201","AARON WHITE","Yes",139,9707.1,128.019762915804,80.5,69.8352517985612
"202","AARON WIGGINS","Yes",95,6714.7,112.542393614011,78,70.681052631579
"203","AARON WILLIAMS","No",86,1770.9,70.3504049568016,75.6666666666667,20.5918604651163
"204","AARON WILSON","No",19,361,83.509,78,19
"205","AARON WRIGHT","No",129,4438.8,85.1521989591782,75,34.4093023255814
"206","AARON YOUNG","No",169,5929.7,102.071038683239,71.4285714285714,35.0869822485207
